ano,mes,sigla_uf,id_municipio,id_municipio_6,cnae_2_secao,cnae_2_subclasse,cbo_2002,saldo_movimentacao,categoria,grau_instrucao,idade,horas_contratuais,raca_cor,sexo,salario_mensal,tipo_empregador,tipo_estabelecimento,tipo_movimentacao,tipo_deficiencia,indicador_trabalho_intermitente,indicador_trabalho_parcial,tamanho_estabelecimento_janeiro,indicador_aprendiz,origem_informacao,indicador_fora_prazo
2020,10,AC,1200401,120040,F,4120400,715210,1,999,7,,,3,1,,0,1,20,0,0,0,1,0,2,1
2020,10,AC,1200138,120013,N,8121400,517420,-1,101,7,,,6,1,,0,1,31,0,0,0,8,0,1,1
2020,10,AC,1200401,120040,G,4783101,521110,1,101,7,,,1,3,,0,1,20,0,0,0,2,0,1,1
2020,10,AC,1200401,120040,I,5611201,513405,-1,101,4,,,3,1,,0,1,40,0,0,0,5,0,1,1
2020,10,AC,1200252,120025,G,4711301,848510,-1,999,7,,,6,1,,0,1,40,0,0,0,1,0,2,1
2020,10,AC,1200401,120040,I,5611203,513435,1,101,7,,,1,3,,0,1,20,0,0,0,4,0,1,1
2020,10,AC,1200104,120010,C,1012101,784205,1,101,7,,,6,1,,0,1,20,0,0,0,7,0,1,1
2020,10,AC,1200401,120040,F,4313400,717020,-1,101,1,,,6,1,,0,4,43,0,0,0,1,0,1,1
2020,10,AC,1200401,120040,M,7020400,724115,-1,999,7,,,3,1,,0,1,31,0,0,0,3,0,2,1
2020,10,AC,1200401,120040,G,4711301,521125,1,999,7,,,6,1,,0,1,20,0,0,0,1,0,2,1
2020,10,AC,1200104,120010,G,4744001,513425,-1,999,7,,,6,1,,0,1,31,0,0,0,2,0,2,1
2020,10,AC,1200401,120040,I,5611203,513435,-1,101,7,,,3,1,,0,1,40,0,0,0,4,0,1,1
2020,10,AC,1200401,120040,F,4120400,513205,-1,101,7,,,6,1,,0,1,43,0,0,0,4,0,1,1
2020,10,AC,1200401,120040,I,5611201,513505,-1,101,7,,,6,1,,0,1,40,0,0,0,4,0,1,1
2020,10,AC,1200203,120020,C,1099604,421125,1,101,7,,,6,3,,0,1,20,0,0,0,1,0,1,1
2020,10,AC,1200401,120040,I,5611203,513435,1,101,7,,,6,1,,0,1,20,0,0,0,4,0,1,1
2020,10,AC,1200401,120040,G,4744099,782510,-1,999,7,,,9,1,,0,1,31,0,9,9,1,0,3,1
2020,10,AC,1200401,120040,G,4755503,252305,-1,999,7,,,6,3,,0,1,31,0,0,0,2,0,2,1
