ano,mes,competencia_movimentacao,sigla_uf,id_municipio,id_municipio_6,admitidos_desligados,tipo_estabelecimento,tipo_movimentacao_desagregado,faixa_emprego_inicio_janeiro,tempo_emprego,quantidade_horas_contratadas,salario_mensal,saldo_movimentacao,indicador_aprendiz,indicador_trabalho_intermitente,indicador_trabalho_parcial,indicador_portador_deficiencia,tipo_deficiencia,cbo_1994,cbo_2002,cnae_1,cnae_2_subclasse,grau_instrucao,idade,sexo,raca_cor,subsetor_ibge,bairros_sp,bairros_fortaleza,bairros_rj,distritos_sp,regiao_administrativas_df,regiao_administrativas_rj,regiao_administrativas_sp,regiao_corede,regiao_corede_04,regiao_gov_sp,regiao_senac_pr,regiao_senai_pr,regiao_senai_sp,subregiao_senai_pr,regiao_metropolitana_mte
2010,4,2010-03,MT,5106752,510675,01,01,02,03,0.0,44,5.5,1,0,,,0,00,000-1,783225,52434,4754701,05,30,01,08,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2010-03,MT,5103403,510340,02,01,04,07,7.0,40,8.79,-1,0,,,0,00,000-1,322205,91995,9499500,07,30,02,02,21,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2010-03,MT,5103403,510340,01,01,02,06,0.0,44,5.2,1,0,,,0,00,000-1,992205,52434,4754701,07,25,01,08,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2010-03,MT,5103007,510300,01,03,02,04,0.0,44,5.1,1,0,,,0,00,000-1,622020,01155,0115600,02,20,01,02,25,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2010-03,MT,5103403,510340,02,01,04,01,47.0,44,13.58,-1,0,,,0,00,000-1,521110,52418,4773300,07,26,02,08,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2010-03,MT,5107925,510792,01,01,02,06,0.0,44,8.04,1,0,,,0,00,000-1,317110,45225,4213800,04,22,01,08,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2010-03,MT,5108006,510800,01,01,02,03,0.0,44,7.0,1,0,,,0,00,000-1,521110,52442,4744005,07,18,02,08,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2010-03,MT,5103403,510340,02,03,04,01,7.0,44,6.6,-1,0,,,0,00,000-1,715210,45217,4120400,05,36,01,08,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2010-03,MT,5107602,510760,02,01,04,01,3.0,44,5.1,-1,0,,,0,00,000-1,513205,55247,5620104,07,18,01,08,13,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2010-03,MT,5107776,510777,01,03,01,01,0.0,36,5.1,1,0,,,0,00,000-1,632125,01392,0139306,04,40,01,08,25,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2010-03,MT,5107602,510760,01,03,02,03,0.0,44,8.0,1,0,,,0,00,000-1,641015,01155,0115600,04,44,01,08,25,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2010-03,MT,5107925,510792,01,03,02,01,0.0,44,10.0,1,0,,,0,00,000-1,641015,01155,0115600,06,23,01,02,25,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2010-03,MT,5101704,510170,01,01,02,01,0.0,44,5.1,1,0,,,0,00,000-1,141410,15814,4721101,07,19,02,09,13,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2010-03,MT,5108303,510830,01,01,01,03,0.0,44,5.1,1,0,,,0,00,000-1,521125,52124,4711302,06,39,02,09,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,4,2010-03,MT,5107800,510780,02,01,04,03,61.0,44,10.43,-1,0,,,0,00,000-1,420105,50300,4530703,05,25,02,08,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,9,2010-03,MT,5107180,510718,01,01,25,06,0.0,25,5.1,1,0,,,0,00,000-1,332105,75116,8411600,07,21,02,09,24,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,9,2010-04,MT,5103403,510340,01,01,02,04,0.0,44,6.63,1,0,,,0,00,000-1,717020,74209,7119799,04,23,01,08,19,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,9,2010-04,MT,5103452,510345,01,03,02,03,0.0,44,7.68,1,0,,,0,00,000-1,641010,01139,0113000,03,26,01,02,25,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,9,2010-05,MT,5105259,510525,01,01,02,05,0.0,44,7.72,1,0,,,0,00,000-1,715210,45292,4299599,03,44,01,08,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,9,2010-05,MT,5105259,510525,01,01,02,05,0.0,44,6.52,1,0,,,0,00,000-1,717020,45292,4299599,05,34,01,08,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,9,2010-07,MT,5107180,510718,02,01,06,03,5.0,44,6.0,-1,0,,,0,00,000-1,521110,51616,4661300,07,32,01,08,17,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,9,2010-07,MT,5103403,510340,01,01,02,04,0.0,44,5.1,1,0,,,0,00,000-1,992225,45136,4313400,02,22,01,09,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,9,2010-07,MT,5103403,510340,02,01,06,01,3.0,44,5.87,-1,0,,,0,00,000-1,717020,45292,4299599,07,43,01,02,15,,,,,,, 999,,  99, 999,  99,, 999,99,
