ano,mes,sigla_uf,id_municipio,id_municipio_6,admitidos_desligados,tipo_estabelecimento,tipo_movimentacao_desagregado,faixa_emprego_inicio_janeiro,tempo_emprego,quantidade_horas_contratadas,salario_mensal,saldo_movimentacao,indicador_aprendiz,indicador_trabalho_intermitente,indicador_trabalho_parcial,indicador_portador_deficiencia,tipo_deficiencia,cbo_2002,cnae_1,cnae_2,cnae_2_subclasse,grau_instrucao,idade,sexo,raca_cor,subsetor_ibge,bairros_sp,bairros_fortaleza,bairros_rj,distritos_sp,regiao_administrativas_df,regiao_administrativas_rj,regiao_administrativas_sp,regiao_corede,regiao_corede_04,regiao_gov_sp,regiao_senac_pr,regiao_senai_pr,regiao_senai_sp,subregiao_senai_pr
2014,7,SP,3505708,350570,02,01,04,09,1.0,36,724.0,-1,0,,,0,00,422315,74993,82202,8220200,07,19,01,02,19,9999,,,9999,0000,,013,,99,001,99,,020,99
2014,7,SP,3507506,350750,01,01,02,03,0.0,44,1081.0,1,0,,,0,00,521125,52426,47539,4753900,07,24,02,02,16,9999,,,9999,0000,,015,,99,010,99,,007,99
2014,7,SP,3548708,354870,01,01,02,03,0.0,44,1228.0,1,0,,,0,00,513420,55212,56112,5611201,07,24,01,08,21,9999,,,9999,0000,,013,,99,001,99,,041,99
2014,7,SP,3545308,354530,01,01,02,01,0.0,44,1394.0,1,0,,,0,00,715505,45500,43991,4399103,06,20,01,02,15,9999,,,9999,0000,,015,,99,013,99,,048,99
2014,7,SP,3509502,350950,02,01,06,01,17.0,40,2636.0,-1,0,,,0,00,351305,80322,85325,8532500,07,35,02,02,23,9999,,,9999,0000,,004,,99,015,99,,009,99
2014,7,SP,3551009,355100,01,01,02,05,0.0,44,1078.0,1,0,,,0,00,141410,52329,47814,4781400,07,24,01,08,16,9999,,,9999,0000,,012,,99,003,99,,040,99
2014,7,SP,3528502,352850,01,01,02,01,0.0,44,724.0,1,0,,,0,00,411010,50415,45421,4542101,07,40,02,02,16,9999,,,9999,0000,,013,,99,001,99,,015,99
2014,7,SP,3507001,350700,01,01,02,09,0.0,44,1489.0,1,0,,,0,00,517330,74608,80111,8011101,07,37,02,08,21,9999,,,9999,0000,,015,,99,011,99,,018,99
2014,7,SP,3513801,351380,01,01,02,03,0.0,44,986.0,1,0,,,0,00,421125,52310,47555,4755503,07,21,02,02,16,9999,,,9999,0000,,013,,99,001,99,,013,99
2014,7,SP,3550308,355030,01,01,02,04,0.0,44,933.0,1,0,,,0,00,521135,50504,47318,4731800,07,33,01,09,16,1793,,,0031,0000,,013,,99,001,99,,046,99
2014,7,SP,3505708,350570,02,01,11,04,3.0,44,808.0,-1,0,,,0,00,763125,52329,47814,4781400,07,42,02,02,16,9999,,,9999,0000,,013,,99,001,99,,020,99
2014,7,SP,3519055,351905,02,03,11,03,2.0,44,1020.0,-1,0,,,0,00,621005,01228,01229,0122900,05,22,01,02,25,9999,,,9999,0000,,004,,99,015,99,,009,99
2014,7,SP,3520509,352050,01,01,02,04,0.0,40,941.0,1,0,,,0,00,334110,91995,94308,9430800,07,22,02,08,21,9999,,,9999,0000,,004,,99,015,99,,016,99
2014,7,SP,3523107,352310,02,01,04,01,18.0,44,5053.0,-1,0,,,0,00,520110,52329,47814,4781400,07,32,01,06,16,9999,,,9999,0000,,013,,99,001,99,,050,99
2014,7,SP,3548104,354810,01,03,02,01,0.0,44,810.0,1,0,,,0,00,621005,01325,01342,0134200,04,28,01,02,25,9999,,,9999,0000,,004,,99,020,99,,030,99
2007,4,SP,3539301,353930,01,03,02,02,0.0,44,1050.0,1,0,,,0,,715210,000-1,01334,00000-1,03,45,01,02,25,9999,0000,0000,9999,0000,,004,,99,017,99,,004,99
2007,4,SP,3540705,354070,01,03,02,09,0.0,44,470.0,1,0,,,0,,622110,000-1,01130,00000-1,02,32,01,02,25,9999,0000,0000,9999,0000,,005,,99,040,99,,043,99
2007,4,SP,3540705,354070,01,03,02,09,0.0,44,470.0,1,0,,,0,,622110,000-1,01130,00000-1,03,40,01,02,25,9999,0000,0000,9999,0000,,005,,99,040,99,,043,99
2007,4,SP,3515194,351519,02,03,04,01,39.0,44,395.0,-1,0,,,0,,623110,000-1,01512,00000-1,04,50,02,02,25,9999,0000,0000,9999,0000,,007,,99,037,99,,005,99
2007,4,SP,3549102,354910,01,03,02,05,0.0,44,402.0,1,0,,,0,,621005,000-1,01342,00000-1,03,33,01,02,25,9999,0000,0000,9999,0000,,004,,99,020,99,,030,99
